,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
75,"['Good', 'action', 'in', '$CORN', '$WEAT', 'again', 'today']",2014-11-26,14:03:08,EST,29667297,CORN,[u'suggested'],24095,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
76,"['@Gpaisa', 'good', 'stuff', 'one', 'of', 'those', 'days', 'cast', 'a', 'line', 'and', 'you', 'get', 'a', 'bite', '$GPRO', '$AMBA', '$BITA', '$FB', '$TWTR']",2014-11-26,14:00:12,EST,29667120,GPRO,[u'suggested'],2646,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
77,"['$DJIA', 'ltSTUDY', 'the', 'Channels', 'gt']",2014-11-26,13:59:58,EST,29667106,DJIA,[u'suggested'],19712,74552,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,ClueLess8
78,"['$TASR', 'took', 'out', 'stops', 'then', 'ran', 'to', 'highs', 'still', 'a', 'chance', 'to', 'ride', 'momosqueeze']",2014-11-26,13:57:28,EST,29666944,TASR,[u'suggested'],2548,139969,Technical,[],,Swing Trader,M5amhan
79,"['This', 'is', 'How', 'Bad', 'it', '39s', 'Been', 'for', 'Gold', 'amp', 'Silver', 'Companies', '$GLD', '$SLW', '$STUDY', '@stocktwits']",2014-11-26,13:56:53,EST,29666918,GLD,[u'suggested'],2282,394798,,[],,,CapitalMarketLabs
80,"['Forecasts', 'Signals', 'amp', 'Action', 'Levels', 'For', '$EURUSD', '$GBPUSD', 'amp', 'Other', 'FX', 'Spots', 'SEB']",2014-11-26,13:56:50,EST,29666915,EURUSD,"[u'suggested', u'official']",6381,185031,Global Macro,"[u'Forex', u'Bonds']",Professional,,eFXnews
81,"['Shift', 'Happens', '$USO']",2014-11-26,13:56:34,EST,29666901,USO,"[u'suggested', u'official']",1004,296805,,[],,,TalkMarkets
82,"['@WallStJesus', 'Thanks', 'for', 'your', 'very', 'initial', '$NLNK', 'Jan', 'calls', 'heads', 'up', 'Beauty', 'since', 'then', 'Those', 'Jan', '60', 'calls', 'yesterday', 'BTO', 'confirmed', 'right']",2014-11-26,13:55:06,EST,29666803,NLNK,[u'suggested'],3845,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
83,"['Natural', 'Gas', 'on', 'the', 'move', 'this', 'afternoon', 'Off', 'its', 'highs', 'and', 'down', '133', 'to', '435', '30-min', 'chart', '$UNG']",2014-11-26,13:54:39,EST,29666774,UNG,[u'suggested'],31348,391,Technical,[u'Equities'],Professional,Swing Trader,jackdamn
84,"['$GPRO', 'there', 'goes', 'the', 'hod', 'nice', 'one', 'indeed', 'nice', 'job', 'bulls']",2014-11-26,13:54:33,EST,29666765,GPRO,[u'suggested'],2646,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
